exception_id,payment_id,transaction_id,invoice_id,customer_id,payment_date,settlement_date,amount,settled_amount,invoice_amount,fees,tax,settlement_difference,invoice_difference,settlement_delay_days,issues,severity,investigation_summary,recommended_action,payment_method,currency
EXC00026,PAY00143,TXN00143,INV00143,CUST0148,2026-07-15,2026-07-16,74803.25,74803.25,78724.91,1122.05,201.97,0.0,-3921.6600000000035,1.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹74,803.25, while invoice amount is ₹78,724.91, creating a difference of ₹3,921.66.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,WALLET,INR
EXC00027,PAY00155,TXN00155,INV00155,CUST0297,2026-07-24,,73369.8,,73369.8,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00155 for ₹73,369.80 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,UPI,INR
EXC00028,PAY00158,TXN00158,INV00158,CUST0240,2026-07-05,2026-07-08,14505.32,12543.43,14505.32,217.58,39.16,1961.8899999999994,0.0,3.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹14,505.32, while settled amount is ₹12,543.43, creating a difference of ₹1,961.89.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",CARD,INR
EXC00029,PAY00162,TXN00162,INV00162,CUST0114,2026-08-11,,6790.1,,6790.1,,,,0.0,,MISSING_SETTLEMENT,MEDIUM,"Payment PAY00162 for ₹6,790.10 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,WALLET,INR
EXC00030,PAY00165,TXN00165,INV00165,CUST0277,2026-07-27,2026-07-28,58940.36,57256.34,58940.36,884.11,159.14,1684.020000000004,0.0,1.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹58,940.36, while settled amount is ₹57,256.34, creating a difference of ₹1,684.02.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",CARD,INR
EXC00031,PAY00168,TXN00168,INV00168,CUST0032,2026-07-26,2026-07-27,27950.2,27950.2,27950.2,419.25,75.47,0.0,0.0,1.0,DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00168 matches another payment on invoice, customer, amount and payment date.",Check transaction identifiers and payment history to determine whether the payment was processed more than once.,UPI,INR
EXC00032,PAY00168_DUP,TXN00168_DUP,INV00168,CUST0032,2026-07-26,,27950.2,,27950.2,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00168_DUP for ₹27,950.20 has no settlement record. Payment PAY00168_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,UPI,INR
EXC00033,PAY00179,TXN00179,INV00179,CUST0300,2026-08-05,2026-08-19,71359.2,71359.2,71359.2,1070.39,192.67,0.0,0.0,14.0,DELAYED_SETTLEMENT,MEDIUM,Settlement occurred 14.0 days after payment.,Review settlement timing and check whether the delay is within the expected processing window.,WALLET,INR
EXC00034,PAY00180,TXN00180,INV00180,CUST0259,2026-08-08,2026-08-11,43304.83,41835.23,43304.83,649.57,116.92,1469.5999999999985,0.0,3.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹43,304.83, while settled amount is ₹41,835.23, creating a difference of ₹1,469.60.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",UPI,INR
EXC00035,PAY00190,TXN00190,INV00190,CUST0159,2026-07-22,2026-07-25,35426.83,34565.34,35426.83,531.4,95.65,861.4900000000052,0.0,3.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹35,426.83, while settled amount is ₹34,565.34, creating a difference of ₹861.49.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",CARD,INR
EXC00036,PAY00200,TXN00200,INV00200,CUST0224,2026-07-02,2026-07-04,46245.55,45056.09,46245.55,693.68,124.86,1189.4600000000064,0.0,2.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹46,245.55, while settled amount is ₹45,056.09, creating a difference of ₹1,189.46.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",UPI,INR
EXC00037,PAY00201,TXN00201,INV00201,CUST0214,2026-07-19,2026-07-21,11959.75,11959.75,13233.18,179.4,32.29,0.0,-1273.4300000000003,2.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹11,959.75, while invoice amount is ₹13,233.18, creating a difference of ₹1,273.43.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,UPI,INR
EXC00038,PAY00213,TXN00213,INV00213,CUST0078,2026-07-04,2026-07-13,45327.05,45327.05,45327.05,679.91,122.38,0.0,0.0,9.0,DELAYED_SETTLEMENT,MEDIUM,Settlement occurred 9.0 days after payment.,Review settlement timing and check whether the delay is within the expected processing window.,NETBANKING,INR
EXC00039,PAY00221,TXN00221,INV00221,CUST0159,2026-07-12,2026-07-13,95141.35,95141.35,95141.35,1427.12,256.88,0.0,0.0,1.0,DUPLICATE_PAYMENT,HIGH,"Payment PAY00221 matches another payment on invoice, customer, amount and payment date.",Check transaction identifiers and payment history to determine whether the payment was processed more than once.,NETBANKING,INR
EXC00040,PAY00221_DUP,TXN00221_DUP,INV00221,CUST0159,2026-07-12,,95141.35,,95141.35,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,HIGH,"Payment PAY00221_DUP for ₹95,141.35 has no settlement record. Payment PAY00221_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,NETBANKING,INR
EXC00041,PAY00226,TXN00226,INV00226,CUST0120,2026-08-04,,24297.27,,24297.27,,,,0.0,,MISSING_SETTLEMENT,MEDIUM,"Payment PAY00226 for ₹24,297.27 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,WALLET,INR
EXC00042,PAY00228,TXN00228,INV00228,CUST0215,2026-07-11,2026-07-14,81780.68,80767.56,81780.68,1226.71,220.81,1013.1199999999953,0.0,3.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹81,780.68, while settled amount is ₹80,767.56, creating a difference of ₹1,013.12.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",CARD,INR
EXC00043,PAY00232,TXN00232,INV00232,CUST0042,2026-07-24,2026-07-27,22841.61,22841.61,22841.61,342.62,61.67,0.0,0.0,3.0,DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00232 matches another payment on invoice, customer, amount and payment date.",Check transaction identifiers and payment history to determine whether the payment was processed more than once.,NETBANKING,INR
EXC00044,PAY00232_DUP,TXN00232_DUP,INV00232,CUST0042,2026-07-24,,22841.61,,22841.61,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00232_DUP for ₹22,841.61 has no settlement record. Payment PAY00232_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,NETBANKING,INR
EXC00045,PAY00247,TXN00247,INV00247,CUST0147,2026-07-23,2026-07-25,86282.78,85946.28,86282.78,1294.24,232.96,336.5,0.0,2.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹86,282.78, while settled amount is ₹85,946.28, creating a difference of ₹336.50.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",UPI,INR
EXC00046,PAY00248,TXN00248,INV00248,CUST0189,2026-07-28,2026-07-30,89003.91,87053.84,89003.91,1335.06,240.31,1950.070000000007,0.0,2.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹89,003.91, while settled amount is ₹87,053.84, creating a difference of ₹1,950.07.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",WALLET,INR
EXC00047,PAY00254,TXN00254,INV00254,CUST0187,2026-08-02,2026-08-05,80209.05,80209.05,81351.56,1203.14,216.57,0.0,-1142.5099999999948,3.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹80,209.05, while invoice amount is ₹81,351.56, creating a difference of ₹1,142.51.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,CARD,INR
EXC00048,PAY00261,TXN00261,INV00261,CUST0232,2026-07-12,2026-07-24,89918.56,89918.56,89918.56,1348.78,242.78,0.0,0.0,12.0,DELAYED_SETTLEMENT,MEDIUM,Settlement occurred 12.0 days after payment.,Review settlement timing and check whether the delay is within the expected processing window.,WALLET,INR
EXC00049,PAY00262,TXN00262,INV00262,CUST0034,2026-08-05,2026-08-08,54446.05,52584.13,54446.05,816.69,147.0,1861.9200000000055,0.0,3.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹54,446.05, while settled amount is ₹52,584.13, creating a difference of ₹1,861.92.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",NETBANKING,INR
EXC00050,PAY00277,TXN00277,INV00277,CUST0164,2026-08-16,2026-08-19,98808.33,98808.33,99896.78,1482.12,266.78,0.0,-1088.449999999997,3.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹98,808.33, while invoice amount is ₹99,896.78, creating a difference of ₹1,088.45.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,NETBANKING,INR
EXC00051,PAY00279,TXN00279,INV00279,CUST0073,2026-07-07,2026-07-08,5535.23,3606.13,5535.23,83.03,14.95,1929.0999999999995,0.0,1.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹5,535.23, while settled amount is ₹3,606.13, creating a difference of ₹1,929.10.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",WALLET,INR
EXC00052,PAY00292,TXN00292,INV00292,CUST0009,2026-07-24,2026-07-27,33458.34,33458.34,36585.0,501.88,90.34,0.0,-3126.6600000000035,3.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹33,458.34, while invoice amount is ₹36,585.00, creating a difference of ₹3,126.66.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,UPI,INR
EXC00053,PAY00307,TXN00307,INV00307,CUST0052,2026-08-13,2026-08-15,77191.22,77191.22,82091.82,1157.87,208.42,0.0,-4900.600000000006,2.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹77,191.22, while invoice amount is ₹82,091.82, creating a difference of ₹4,900.60.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,UPI,INR
EXC00054,PAY00309,TXN00309,INV00309,CUST0046,2026-08-11,,57626.27,,57626.27,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00309 for ₹57,626.27 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,UPI,INR
EXC00055,PAY00311,TXN00311,INV00311,CUST0149,2026-07-03,,1422.08,,1422.08,,,,0.0,,MISSING_SETTLEMENT,MEDIUM,"Payment PAY00311 for ₹1,422.08 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,UPI,INR
EXC00056,PAY00312,TXN00312,INV00312,CUST0233,2026-08-11,2026-08-14,54558.4,53569.16,54558.4,818.38,147.31,989.239999999998,0.0,3.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹54,558.40, while settled amount is ₹53,569.16, creating a difference of ₹989.24.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",WALLET,INR
EXC00057,PAY00334,TXN00334,INV00334,CUST0236,2026-07-23,2026-07-24,15934.58,15934.58,15934.58,239.02,43.02,0.0,0.0,1.0,DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00334 matches another payment on invoice, customer, amount and payment date.",Check transaction identifiers and payment history to determine whether the payment was processed more than once.,CARD,INR
EXC00058,PAY00334_DUP,TXN00334_DUP,INV00334,CUST0236,2026-07-23,,15934.58,,15934.58,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00334_DUP for ₹15,934.58 has no settlement record. Payment PAY00334_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,CARD,INR
EXC00059,PAY00343,TXN00343,INV00343,CUST0074,2026-07-30,2026-08-01,91516.75,91516.75,94524.54,1372.75,247.09,0.0,-3007.7899999999936,2.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹91,516.75, while invoice amount is ₹94,524.54, creating a difference of ₹3,007.79.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,WALLET,INR
EXC00060,PAY00344,TXN00344,INV00344,CUST0125,2026-07-17,,20732.0,,20732.0,,,,0.0,,MISSING_SETTLEMENT,MEDIUM,"Payment PAY00344 for ₹20,732.00 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,UPI,INR
EXC00061,PAY00350,TXN00350,INV00350,CUST0051,2026-08-16,,47214.3,,47214.3,,,,0.0,,MISSING_SETTLEMENT,MEDIUM,"Payment PAY00350 for ₹47,214.30 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,NETBANKING,INR
EXC00062,PAY00354,TXN00354,INV00354,CUST0173,2026-07-17,2026-07-19,76454.38,76454.38,79842.01,1146.82,206.43,0.0,-3387.62999999999,2.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹76,454.38, while invoice amount is ₹79,842.01, creating a difference of ₹3,387.63.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,WALLET,INR
EXC00063,PAY00369,TXN00369,INV00369,CUST0074,2026-08-18,,82158.73,,82158.73,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00369 for ₹82,158.73 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,WALLET,INR
EXC00064,PAY00383,TXN00383,INV00383,CUST0248,2026-08-20,2026-08-23,8153.68,8153.68,8153.68,122.31,22.02,0.0,0.0,3.0,DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00383 matches another payment on invoice, customer, amount and payment date.",Check transaction identifiers and payment history to determine whether the payment was processed more than once.,NETBANKING,INR
EXC00065,PAY00383_DUP,TXN00383_DUP,INV00383,CUST0248,2026-08-20,,8153.68,,8153.68,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00383_DUP for ₹8,153.68 has no settlement record. Payment PAY00383_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,NETBANKING,INR
EXC00066,PAY00387,TXN00387,INV00387,CUST0103,2026-07-31,2026-08-03,31761.24,31761.24,33572.76,476.42,85.76,0.0,-1811.5200000000004,3.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹31,761.24, while invoice amount is ₹33,572.76, creating a difference of ₹1,811.52.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,WALLET,INR
EXC00067,PAY00392,TXN00392,INV00392,CUST0217,2026-08-20,2026-09-02,38010.59,38010.59,38010.59,570.16,102.63,0.0,0.0,13.0,DELAYED_SETTLEMENT,MEDIUM,Settlement occurred 13.0 days after payment.,Review settlement timing and check whether the delay is within the expected processing window.,WALLET,INR
EXC00068,PAY00402,TXN00402,INV00402,CUST0176,2026-08-11,,11381.59,,11381.59,,,,0.0,,MISSING_SETTLEMENT,MEDIUM,"Payment PAY00402 for ₹11,381.59 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,CARD,INR
EXC00069,PAY00409,TXN00409,INV00409,CUST0235,2026-08-09,,17666.49,,17666.49,,,,0.0,,MISSING_SETTLEMENT,MEDIUM,"Payment PAY00409 for ₹17,666.49 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,NETBANKING,INR
EXC00070,PAY00414,TXN00414,INV00414,CUST0249,2026-07-09,2026-07-11,19915.28,19915.28,22689.75,298.73,53.77,0.0,-2774.470000000001,2.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹19,915.28, while invoice amount is ₹22,689.75, creating a difference of ₹2,774.47.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,WALLET,INR
EXC00071,PAY00420,TXN00420,INV00420,CUST0153,2026-07-03,2026-07-05,45248.37,43504.32,45248.37,678.73,122.17,1744.050000000003,0.0,2.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹45,248.37, while settled amount is ₹43,504.32, creating a difference of ₹1,744.05.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",NETBANKING,INR
EXC00072,PAY00441,TXN00441,INV00441,CUST0180,2026-08-16,,21699.02,,21699.02,,,,0.0,,MISSING_SETTLEMENT,MEDIUM,"Payment PAY00441 for ₹21,699.02 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,CARD,INR
EXC00073,PAY00447,TXN00447,INV00447,CUST0256,2026-08-10,2026-08-23,59596.01,59596.01,59596.01,893.94,160.91,0.0,0.0,13.0,DELAYED_SETTLEMENT,MEDIUM,Settlement occurred 13.0 days after payment.,Review settlement timing and check whether the delay is within the expected processing window.,UPI,INR
EXC00074,PAY00449,TXN00449,INV00449,CUST0035,2026-07-01,,26587.44,,26587.44,,,,0.0,,MISSING_SETTLEMENT,MEDIUM,"Payment PAY00449 for ₹26,587.44 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,UPI,INR
EXC00075,PAY00464,TXN00464,INV00464,CUST0092,2026-07-15,2026-07-17,80531.63,80531.63,81341.8,1207.97,217.43,0.0,-810.1699999999983,2.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹80,531.63, while invoice amount is ₹81,341.80, creating a difference of ₹810.17.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,UPI,INR
EXC00076,PAY00468,TXN00468,INV00468,CUST0120,2026-08-04,2026-08-06,34969.16,34969.16,35475.74,524.54,94.42,0.0,-506.57999999999447,2.0,INVOICE_MISMATCH,MEDIUM,"Payment amount is ₹34,969.16, while invoice amount is ₹35,475.74, creating a difference of ₹506.58.",Compare the payment with the corresponding invoice and verify whether the invoice amount or payment amount is incorrect.,UPI,INR
EXC00077,PAY00470,TXN00470,INV00470,CUST0144,2026-07-06,2026-07-08,4868.08,3436.47,4868.08,73.02,13.14,1431.6100000000001,0.0,2.0,AMOUNT_MISMATCH,LOW,"Payment amount is ₹4,868.08, while settled amount is ₹3,436.47, creating a difference of ₹1,431.61.","Compare settlement amount, processing fees, taxes and adjustments to determine the reason for the difference.",CARD,INR
EXC00078,PAY00474,TXN00474,INV00474,CUST0163,2026-07-29,2026-08-01,27559.61,27559.61,27559.61,413.39,74.41,0.0,0.0,3.0,DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00474 matches another payment on invoice, customer, amount and payment date.",Check transaction identifiers and payment history to determine whether the payment was processed more than once.,UPI,INR
