exception_id,payment_id,transaction_id,invoice_id,customer_id,payment_date,settlement_date,amount,settled_amount,invoice_amount,fees,tax,settlement_difference,invoice_difference,settlement_delay_days,issues,severity,investigation_summary,recommended_action,payment_method,currency,controller_priority,workflow,automation_status,queue_status,controller_version,ai_status,ai_attempts,ai_result_available,ai_error
EXC00079,PAY00474_DUP,TXN00474_DUP,INV00474,CUST0163,2026-07-29,,27559.61,,27559.61,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00474_DUP for ₹27,559.61 has no settlement record. Payment PAY00474_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,UPI,INR,MEDIUM,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
EXC00083,PAY00494_DUP,TXN00494_DUP,INV00494,CUST0184,2026-08-07,,3306.55,,3306.55,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00494_DUP for ₹3,306.55 has no settlement record. Payment PAY00494_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,NETBANKING,INR,MEDIUM,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
EXC00087,PAY00527,TXN00527,INV00527,CUST0283,2026-07-21,,85734.11,,85734.11,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00527 for ₹85,734.11 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,WALLET,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
EXC00088,PAY00529,TXN00529,INV00529,CUST0299,2026-08-18,,96500.75,,96500.75,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00529 for ₹96,500.75 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,UPI,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
EXC00101,PAY00604,TXN00604,INV00604,CUST0174,2026-07-07,,75836.36,,75836.36,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00604 for ₹75,836.36 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,UPI,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,1,True,
EXC00106,PAY00632,TXN00632,INV00632,CUST0132,2026-08-04,,72535.57,,72535.57,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00632 for ₹72,535.57 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,UPI,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,3,True,
EXC00108,PAY00638,TXN00638,INV00638,CUST0286,2026-07-05,,57708.75,,57708.75,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00638 for ₹57,708.75 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,CARD,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,3,True,
EXC00112,PAY00657,TXN00657,INV00657,CUST0016,2026-08-07,,58100.63,,58100.63,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00657 for ₹58,100.63 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,CARD,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,3,True,
EXC00122,PAY00779,TXN00779,INV00779,CUST0081,2026-08-04,2026-08-07,99844.14,99844.14,99844.14,1497.66,269.58,0.0,0.0,3.0,DUPLICATE_PAYMENT,HIGH,"Payment PAY00779 matches another payment on invoice, customer, amount and payment date.",Check transaction identifiers and payment history to determine whether the payment was processed more than once.,WALLET,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,3,True,
EXC00123,PAY00779_DUP,TXN00779_DUP,INV00779,CUST0081,2026-08-04,,99844.14,,99844.14,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,HIGH,"Payment PAY00779_DUP for ₹99,844.14 has no settlement record. Payment PAY00779_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,WALLET,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,3,True,
EXC00124,PAY00784,TXN00784,INV00784,CUST0162,2026-07-02,,77266.55,,77266.55,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00784 for ₹77,266.55 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,NETBANKING,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,3,True,
EXC00138,PAY00850,TXN00850,INV00850,CUST0270,2026-08-06,,99504.92,,99504.92,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00850 for ₹99,504.92 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,NETBANKING,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,3,True,
EXC00146,PAY00927,TXN00927,INV00927,CUST0240,2026-08-12,,93650.11,,93650.11,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY00927 for ₹93,650.11 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,WALLET,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,3,True,
EXC00152,PAY00955_DUP,TXN00955_DUP,INV00955,CUST0139,2026-08-03,,45316.7,,45316.7,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00955_DUP for ₹45,316.70 has no settlement record. Payment PAY00955_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,CARD,INR,MEDIUM,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,3,True,
EXC00158,PAY00975_DUP,TXN00975_DUP,INV00975,CUST0286,2026-08-18,,1736.09,,1736.09,,,,0.0,,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,MEDIUM,"Payment PAY00975_DUP for ₹1,736.09 has no settlement record. Payment PAY00975_DUP matches another payment on invoice, customer, amount and payment date.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,WALLET,INR,MEDIUM,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,3,True,
EXC00162,PAY01000,TXN01000,INV01000,CUST0208,2026-08-01,,76967.56,,76967.56,,,,0.0,,MISSING_SETTLEMENT,HIGH,"Payment PAY01000 for ₹76,967.56 has no settlement record.",Verify settlement status with the payment processor and check whether the settlement batch is missing.,WALLET,INR,HIGH,AI_INVESTIGATION,NOT_AUTOMATED,PENDING,v1.0,COMPLETED,3,True,
